hash,mediana_cpu,pico_cpu,mediana_memoria,pico_memoria,flavor
01b643378196db3b3f2a431b44ee5105,0.72481977163475,0.8722253152407,58.87890625,59.11328125,f1
01b722ce05d0d95ca31dc559e75f9b00,1.45380937864805,1.6629817907161,359.05078125,359.15625,f7
01c3d7db3acf1abd7b41df0fc69de572,1.09560740700095,3.2240801650794997,284.1796875,285.1171875,f5
01d2ae6015c22d13de96f1a0e39a3892,0.47129945775295,1.8887917710922,1.82421875,1.875,f1
01d87ce33d430fe1f4a1199bc43994a1,0.06068150802905,0.1160815260393,27.94140625,28.1328125,f0
01f56ea6c094060402bc5725e8a968df,1.82823699705145,2.2920863749061997,19.47265625,19.7578125,f2
01fd1c2f88849ab9add36c027c7ddf43,1.86719711873895,1.9673424553992997,47.2109375,47.2109375,f1
02028ac0a1ec1e8ffb8dd4c885d68875,1.2548175323321,1.4712388969146,201.7421875,205.56640625,f4
0203bf341d886d4aab4f1078c4615b4b,6.05738915976055,10.2426828487214,96.255859375,99.69921875,f9
0235627f753cc523a43c3d9b1d085f42,1.2678691390046999,1.4552772010380002,17.80859375,18.50390625,f1
0240c999a2f5505c3661a7e40cec63d8,0.8063456756733,2.319102338199,102.16796875,103.28125,f2
02420d9c13c99ade88e5c2583719b965,0.7200144664389,1.4245716002344,178.99609375,184.76171875,f3
0247f9d6f1ccf5fa4e934c24556d33fc,1.06463602779655,1.7533528065841,356.71875,373.5703125,f7
024c2655926d0d61b8bab797377d8fcd,3.4817677857262,5.6213821828342,122.224609375,123.54296875,f5
024ca3d3fa01a53771fe428e9e96965f,5.9862579341403,6.9627294539702,318.5625,320.71875,f6
0252b23fd7fcafc07d5ad50a6e78901d,1.46656092225165,2.3867393659961,178.841796875,238.7109375,f5
02595cd2af2a369c92638381bee64eae,0.33164899042285,0.4122395942084,84.8671875,85.70703125,f1
02702070ca81e7f2e1b8d93f69a72594,0.01025565806525,0.6284027476956999,3.57421875,3.75,f0
0271ab51149f9bfab739edbf9ea8e795,1.30603746368575,1.8066708285847,344.75390625,345.00390625,f6
02836c56aa17cb6534a75e02f0b5d350,0.6271324839560499,1.081395005709,222.83984375,225.73828125,f4
02912d4ffc644c9e9faad26378128126,0.030017128331049997,0.3641672991248,1.92578125,1.94921875,f0
02c0a66a3f639c4c60716962fe7a1f72,0.3617006312498,10.0460547685809,33.2734375,33.34765625,f9
