Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-7zvws,OOMKilled,1,12,45,2046e7017fe62659b9697eeb82ed583c
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-859qh,OOMKilled,1,12,45,e1185ae20854c0f3910b14c8783e7f96
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-8lhmv,OOMKilled,1,12,45,d302cc69c281bfbb67f2dce0814839b9
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-bkb7p,OOMKilled,1,12,45,ea62588c7e4ded7fdc04b3db5c94352f
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-d62qv,OOMKilled,1,12,45,63b480989c5a776e5a300bf326513e05
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-dbqmb,OOMKilled,1,12,45,3207f60bc6e2207b19f79167de7250ae
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-dr8nv,OOMKilled,1,12,45,1d3962a7125d2589d70097223ffb5fa6
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-gkg4c,OOMKilled,1,12,45,e42f44d587e5e25b7d6294c47b2cece8
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-gkxwn,OOMKilled,1,12,45,b345c188c426cc6b5a673d14cb315ce4
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-jsh48,OOMKilled,1,12,45,0aa62246cecc373dd420909f242885db
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-jzmlz,OOMKilled,1,12,45,5443a0ccdcfc031bb170feda9887eb55
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-kqz55,OOMKilled,1,12,45,1a9523c4af399bcd2a8bcbca72b4c56b
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-lqxvh,OOMKilled,1,12,45,d678dba4fb3755110f817bcb4b15d209
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-mqxxn,OOMKilled,1,12,45,2e389e226f739cc3347033a876860e5a
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-rrvz9,OOMKilled,1,12,45,cb7a98c76aaed9ee46393e339a37a3cc
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-svqpb,OOMKilled,1,12,45,c3c4dcf27c495640751fb305a40426ef
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-wgcs7,OOMKilled,1,12,45,fd965174b36ea4b4242635b319c6228e
ws-sne,ws-sne-snepluspro,sne-integrador,sne-integrador-78fd5bcd67-ztbpm,OOMKilled,1,12,45,bf93d961d7a030b66e0b00b867bad25b
ws-sne,ws-sne-snepluspro,sne-relatorios,sne-relatorios-644c6c7bfb-km55q,OOMKilled,1,12,45,f1fd8122f561e6e1aa9975e62baf069b
dedat,dedat-springdev,spring-boot-dominiosief,spring-boot-dominiosief-586f77fd8c-p9kjv,OOMKilled,1,12,45,b7cb6249998588ddc639d59d78f8c741
svcd,svcd-dauth,svcdsistemas,svcdsistemas-7b94b6ddc7-72nv9,OOMKilled,1,12,45,cb1549b3900acfdacb4631c72221a7fd
titula-brasil,titula-brasil-pro,titula-reports-api,titula-reports-api-6b49dcdc59-kxgld,OOMKilled,1,12,45,7fcb582d140afcc990c2e8a5708c9336
irpfonline,irpfonline-rnf,transformador,transformador-f494b448-4kqg6,OOMKilled,1,12,45,2488b03967be3efcbf2d084a95ee32d0
irpfonline,irpfonline-rnf,transformador,transformador-f494b448-x544p,OOMKilled,1,12,45,cdae04e00ed53546f9d14c92d712ca86
harbor,harbor,trivy,harbor-bsa-trivy-1,OOMKilled,1,12,45,559e71f2cefeae2684fa40d74139496e
cadurb,cadurb-rnf,validar-remessa,validar-remessa-d6f5b458b-b7kgb,OOMKilled,1,12,45,c3d00952be3687b5204245f6235f87ef
pavd,pavd-p,vendas,vendas-6d76574988-kn42b,OOMKilled,1,12,45,7acf589e8c567a92852bcb3c5fa1fea8
pavd,pavd-p,vendas,vendas-6d76574988-nw7vb,OOMKilled,1,12,45,00837ba6161d7fc1129f2b863f7ef1cb
pfauto,pfauto-hb,vendas-gestor,vendas-gestor-79c95c6d69-7js8g,OOMKilled,1,12,45,f669855c9cdaec7a9bf96ff464c5f6de
pfauto,pfauto-p,vendas-gestor,vendas-gestor-6f9ff7bddb-hvlhw,OOMKilled,1,12,45,9c0f877aaff80dde4c14fb5f2de4fac6
pfauto,pfauto-p,vendas-gestor,vendas-gestor-6f9ff7bddb-ps9lf,OOMKilled,1,12,45,27b5c2272b4ad7283c3b3a3d16186e7b
esmon,esmon-pr,victoria-metrics,victoria-metrics-64fdc977dc-xldx2,OOMKilled,1,12,45,b9c45ffb1a2f4a0e7e5c5e13052606c7
appgovbr,appgovbr-h,wallet-schedule,wallet-schedule-d4b6d77dd-mh7kc,OOMKilled,1,12,45,cfdfcd469cccda8213448515bcf27e9d
siver,siver-h,web-selecionados,web-selecionados-694ccbdb56-cnckw,OOMKilled,1,12,45,4fc3274ffef7e3789046a5e001334d95
esocialweb,esocialweb-pintra,web-sst-api,web-sst-api-669bfd65fc-2p525,OOMKilled,1,12,45,771017f3ac3ed7c781cf732acd67ffc1
esocialweb,esocialweb-pintra,web-sst-api,web-sst-api-669bfd65fc-nlq7l,OOMKilled,1,12,45,96228532745512b3f5787b47c3b10bfa
esocialweb,esocialweb-pintra,web-sst-api,web-sst-api-669bfd65fc-rb7vz,OOMKilled,1,12,45,bdb56e774a442260ad56f02a9a508aa5
webanalise,webanalise-dev,webanalise-api,webanalise-api-84fdd46d7d-bpk8b,OOMKilled,1,12,45,3d4656c50abe1734a30000dd8f2828e2
webanalise,webanalise-dev,webanalise-api,webanalise-api-84fdd46d7d-vvdlp,OOMKilled,1,12,45,3909b1792b689a774716569ceadc49fc
sinac,sinac-h,ws-cnae-natjur,ws-cnae-natjur-85456dc6ff-ktjn4,OOMKilled,1,12,45,bb0640903d153f86a7c962deea8fd01e
