Sistema,Ambiente,Modulo,Pod,Error,Qtd,Hora,Minuto,Hash
brcidadao,brcidadao-p,picturescalingv1,picturescalingv1-84977dfdb4-x4b7b,OOMKilled,1,21,45,679f4bc86407f61619647fbe5e7ff618
cdnps,cdnps-podipsdf,podips-reader,podips-reader-989865855-c6vpk,OOMKilled,1,21,45,359a719167f15efa05042a9c90ad45a6
cdnps,cdnps-podips,podips-reader,podips-reader-5dd44888df-z6ch7,OOMKilled,1,21,45,e70aaf29cb288057dfdb222023dace85
ws-sne,ws-sne-sneplusdes,portal-servicos-email,portal-servicos-email-667cb4b56f-9gg94,OOMKilled,1,21,45,c29ace9a58967df020cea8dc21d62d35
ws-sne,ws-sne-sneplusdes,portal-servicos-email,portal-servicos-email-667cb4b56f-d7k4r,OOMKilled,1,21,45,b4c6342f0c526a5b5aa1005959bb912e
portalcadastro,portalcadastro-mon,portalcadastro-flb,portalcadastro-flb-67c95d495c-l2rx8,OOMKilled,1,21,45,f4a4c58e4a9a2d14dcff86cded732003
psdenatran,psdenatran-p,portalservicos-acesso,portalservicos-acesso-548486f7-jjch7,OOMKilled,1,21,45,7ec52a092812416a2afb9d9b48644416
psdenatran,psdenatran-p,portalservicos-acesso,portalservicos-acesso-548486f7-xvrwp,OOMKilled,1,21,45,848afddfffa9ea0f0aefd5cf455e833d
piscofins,piscofins-hom,ppcf-backend-manutencao,ppcf-backend-manutencao-8676746f57-vzmdb,OOMKilled,1,21,45,0709aa18f7faa341f25da60fa5ea2c8d
sinespppe,sinespppe-h,ppe-pesquisa-carga,ppe-pesquisa-carga-6c449955bf-tjnrt,OOMKilled,1,21,45,4808063ec9a34a10234a2c3b0a6eb642
sinespppe,sinespppe-p,ppe-pesquisa-carga,ppe-pesquisa-carga-bf78dd6d6-dcb85,OOMKilled,1,21,45,b6fd33f43e0e9918b9e1f891b8cd7a8b
sinespppe,sinespppe-p,ppe-pesquisa-carga,ppe-pesquisa-carga-bf78dd6d6-gdj7h,OOMKilled,1,21,45,cea9687e59f7e907a2920fe926c9d518
sinespppe,sinespppe-p,ppe-pesquisa-carga,ppe-pesquisa-carga-bf78dd6d6-tm6mk,OOMKilled,1,21,45,8606c4eaaaf344ae45bc0a9ecc553460
sinespppe,sinespppe-p,ppe-pesquisa-service,ppe-pesquisa-service-f7bbbc844-b5b2r,OOMKilled,1,21,45,671b9516597b310be6956e5d8214a2dd
sinespppe,sinespppe-p,ppe-relatorios,ppe-relatorios-b95684f5b-xx4fz,OOMKilled,1,21,45,46a0dcd4f063a317a19917eab89ebd3f
siafi,siafi-mon,pr,pr-65458dff8c-j26nd,OOMKilled,1,21,45,d0ab17fb2a839bcc2f1e8cf313299f1e
precadininternet,precadininternet-p,pre-cadin-internet,pre-cadin-internet-6c974b7688-k4st5,OOMKilled,1,21,45,4e7141a475b52c19c1db6cea9b168862
precadininternet,precadininternet-p,pre-cadin-internet,pre-cadin-internet-6c974b7688-pqjr5,OOMKilled,1,21,45,406cc75a145f3a4a6ff580cdcbec06ff
proc-fgtsd,proc-fgtsd-d,procuracoes-backend-java,procuracoes-backend-java-8c6594b4c-knp75,OOMKilled,1,21,45,d2cf9639200c13ca9fe8662a2f7a76cc
proc-fgtsd,proc-fgtsd-v,procuracoes-backend-java,procuracoes-backend-java-6c5b66486d-z5hf6,OOMKilled,1,21,45,8f247dd85babddb67b815eaccf77aa2d
