hash,hora,min,consumo_cpu
ebda581a6242edae8d75dceaae626b1c,16.0,30.0,0.000823036333253
c07203137e7a805592e86e7aeae3963e,16.0,30.0,0.1006352855502591
742a7b1a4ef8aed37d4ce99a3a7bcda9,16.0,30.0,1.2116526870082274
f110078b4229028a7cb8a4dd24e8a097,16.0,30.0,0.0015779683384144
1a54eec2da86dda8b3f5d0e800b94c33,16.0,30.0,0.0004687339108898
d25ce868bff2b63021b922ea2eb8b5af,16.0,30.0,0.0129231183724514
b1aea498942a02e6d2f3936af090f00b,16.0,30.0,0.0259959195184988
d8eaabdaf5eac6555d755178b5d0452d,16.0,30.0,4.244431827187448
a1482176baa4a760024fbb97c1d72666,16.0,30.0,32.456655977131255
14fea8f7653c5d823f27cd1ac838296c,16.0,30.0,5.4689648149768
3b40e53363c3adafe85775e1602a57c6,16.0,30.0,24.046826330303205
95de2ee61ebb649477d8b908f0189fc7,16.0,30.0,34.044570046619064
95aa1433dd8a66eb37a095ceb57bdc91,16.0,30.0,0.0097103762246858
f0b3bcb3f1888d29804e7908833b3780,16.0,30.0,0.0146909447387292
b022b53ac6583de6ff1492816abd8c2e,16.0,30.0,0.0002703691904746
fd1d25cfebbdc391e95dfb7e86d67430,16.0,30.0,0.0061917804040452
c60cd2b937690ad575e27dc9887ff128,16.0,30.0,0.0091985217643062
b7632584ae35d80a5b1ffbe0516f9c57,16.0,30.0,0.0132643532470676
25371f7aaf836c5bbb5af61c36169dd8,16.0,30.0,0.0003148464374016
f2b04da59a7b2b6d1dc0956fc6acad93,16.0,30.0,0.0001469597206596
311110f4bf5dd99f4cc4bafb17d2dff5,16.0,30.0,0.0007208149616652
4084bcdfbda817d49451a94c5d7b2d30,16.0,30.0,0.0001239473404559
3338acc4232c1128aa023fa618e8aeaf,16.0,30.0,0.019006790308676
d7f41e418691255c4d00da468e3ec21a,16.0,30.0,0.0018579825442025
2971ddead61098cccf9425d6e874f89b,16.0,30.0,0.0074699538392232
48715d44915f9023c72133fbe8647fb0,16.0,30.0,4.244462445985568e-05
db8b85f095cd7535de0449b140bc5c2e,16.0,30.0,0.0004630517628915
eb80a83b3314fe2c3c878a3d846a4707,16.0,30.0,0.0023855409057095
23a43343ed72953a646e60007151ac59,16.0,30.0,0.0034448257905508
5c7351e884d542a9724d172f6d25e7b3,16.0,30.0,0.0064389056602972
